,year,Female,Male
0,1972,1.9130434782608696,1.4
1,1973,1.6470588235294117,1.7692307692307692
2,1974,1.4883720930232558,1.8888888888888888
3,1975,1.6346153846153846,1.8333333333333333
4,1977,1.64,1.8333333333333333
5,1980,1.7045454545454546,1.7142857142857142
6,1982,1.7272727272727273,1.9
7,1983,1.5833333333333333,1.3333333333333333
8,1984,1.4871794871794872,1.6
9,1985,1.6181818181818182,2.111111111111111
10,1986,1.6595744680851063,2.111111111111111
11,1987,1.7758620689655173,1.7777777777777777
12,1988,1.6444444444444444,1.5714285714285714
13,1989,1.64,1.8461538461538463
